amount,address
0, terra1004ntprq3wc26u9sz2fjmsx2twhuaxnpktvq88
142776422, terra1005le4argrgh0nnx7ewz3xwq38rjc2368rsf5r
0, terra1005q25w8c5tfskyqt64ztqa8wt33anakvxxf5e
688544616, terra1005r2u35mrw9zqvn7j5d3x04gq6cap232kjwuw
0, terra100776wys5cr0lcwnq3hrj5g66e8m6yna0gc0yq
30182460, terra1007h6xwvk4k75xg4z5t9xce6fhkghrqs6jdda5
0, terra1008s03gkcsdcu4njel88up69ze6uv7frc3ck4x
0, terra100agvf9uzd8t6xwnhe0hzlypcg6cr3ytq5w95k
0, terra100akvd2q44q4zcjv0f2rh58292ajsuhwe8n4p2
18473222, terra100cj22jjpwgn45w5pv0zv92l7q6j3cprsfh249
0, terra100d87dhfca4x023yphu0qfslwnn0vmhgxqpdy3
230102038, terra100dxspkurxsa29upl7s9pywqxtff70r6l9ux2u
0, terra100dxvractwprg0hghps6gt348zzy502e6xlaaf
35818820, terra100ecf0wgcz8s6qrul4xf4a9jh4kh8c70wrxvds
0, terra100ggkt96xf8kkhrpwddxxferq664347uccgpd7
284878771, terra100hxw7qp0ltyk4n824qnz698hpe3cdp6wfndeq
0, terra100mexkjnxys75exrav8fslqtrdp57q2c6393pc
148045385, terra100mvrlzjw06cd0803akngfyauqf3zzgak5r2d6
71169144, terra100mwzgepan9pyp7rls6kde3t3a5ajdfl5pzeq9
0, terra100nsu4lsy84dcuyecjak9lnrdayj8tf5699n8m
0, terra100pesppvy4utsvalwxqlmfrm68rv0qek2pajsw
0, terra100r8d79cnhhvwksunmt75nnqws7c6drkzwnv63
0, terra100wss7k9dwqvdn4wdel65h5usprm3gajnu7hl8
0, terra100xd95u062tv6ulhav3yztt96crf5zy4rst0pe
0, terra10205pqt55exgxxm2qa9ltxvlpwsweq9vh4ar0z
0, terra1023dm6g6nt2ked4vn7nqe2qqfwzn4dssfyqjj9
22524300, terra102599e8lpk8652eklhqmkynr9pt9vz5c6spkr8
93880443, terra1026qm40cwyg32qhhsx923lkxvzm7eynjwv8mza
0, terra1028ql7yjw7ju6pvzh8faxvl4dmpz466z6lw5ga
94400975, terra102af7a4l2hcmt8g5hn3sgdej77mnte47v6zwte
1477616, terra102arkzd6sejym5800hxkd8eygj2s7q0nne0tjy
0, terra102av2gsndemejx4f90gkh4wlq3glxdptm3fh2z
68917136, terra102c6vvss90gr2rudnzg0al77srs5k9tkdx3wun
0, terra102ez3yq9k96zh9xk9jssuun5prs2c9ekg5sp5q
0, terra102fl2vzzw74zcwe03ykq6pn2yx5ft5e67wuv6z
0, terra102jfjl0ss6w9rcp9y75746kyf678hknu3lgkks
18473222, terra102lf52uzkgqhz03rmnupy6qf50qt6xflyag9zm
0, terra102my4425zh6mwk9r7krhe8n25m05l52zjjc554
0, terra102mz9wjzu9yfuj63438fyhcyhr5q5sl84mxfv8
6817, terra102pm0vmqlt8yg8pznpcsk40dtgelrt46ftf3ys
0, terra102qk86ns5qlya9vxnq9y49yuqex0hz0yfrj54c
0, terra102rsnnxffxgets5vmd58g4r2xctu3ckalzlu9a
0, terra102sawl5738rz5cv2hzdrztxzq2wx2l2qc7d702
18473222, terra102sqj5sy4eu24xg6pwdudw5uhq7nm5ca4kwl0a
0, terra102tfy52jwy5cv3ttqww2rr35huat62g9fy3x4y
0, terra102vqktp9p0dm4g0pq2e3lgxr46tqcs9nj6wzwp
277098337, terra102ws20myl9m88rlnvnzypu7vnwyrn82gse4neh
0, terra102xjcgpmjsnjag4uym54la6emxyj64v204090n
0, terra102xrq94nyp8yh2u23c54lvdx82z6dqyedrfduf
1356334212, terra102ynau3wfcm9lp6r7p0t43xrqlk02du5te3264
50801361, terra102zyzmcrnwguc8hsqkmqlkt7ydjvxe52jah67m
54930285, terra1030mwx64zy2fmdjs7g9vv0s05g9nuaxsdurah5
252255323, terra1030nlwxaecp9pcem8fhnzwg5n2u4zrhwuzwqqr
198284350, terra10323w7lzvtrljn0f05d5pzh4zl6q50aedvx6cp
0, terra1033q8552c08r3mz55dce5rvl3c3la9fw8wvkz7
0, terra10343dlsf3hzy7jzfe7etha9tltr53cly6vrskl
0, terra1034kewxnd3qe4u4f89fky537adkr7jsmuvtkhm
0, terra10355nemgu8xydzhwsm2ace8h97z3ec30zdhwgc
0, terra1035tnh2nn9ay9afjw7eglug3lw2flsajxaaefr
0, terra1037ugfvxhsfzc9ffal95265asuj25kmypvl0kd
137438729, terra1038gvvdhhemxahcjcnvsl5026tg56ffd0spdsw
358141577, terra103985t7haeeppgeas5lh8ys0zg7dguuqhrxwch
18473222, terra103anu6zfwrwls637y33ksq2zuf7k6qd2hvgcq5
0, terra103gn7qfdh69s2h9zr6806n7mr6nw23vx4kzftn
0, terra103p0f62y527gc6p9gdz9fch6fdwd62nhtl7ycz
0, terra103pk7z8p4sx64l4f63p87wvkq5sc9xzlup5558
0, terra103pp5efjaeq2rlk7pyywgglxx36uwgd72mek8k
0, terra103pz24gdtyqrc96mykazhu5ag6yqs6ew03f9jk
24247666, terra103q39xa9m6g39l0dftv6xzllfeu2hm78s7d8yu
0, terra103qp5rywqs3mqumgrapmm02t9gg8d5sy3emyqv
0, terra103qss8c0vel5qw9zynmjvrr6d62j44w492ez74
682457329, terra103rakc90xgcuxaee6alqhkmnp7qh92hwt0hxur
0, terra103sk9xhun8v0wx7m7w5sn6yvekfwahdefmgc9f
0, terra103t72quccuke52cpujwue9cpqnsvxere6swn2z
0, terra103tvlwwdk7xtzsqacpwxw96sn78tve5jtctr58
30790415, terra103usrxxz8tedl3lphhf250s22xr836jxap7kfa
5648865, terra103v9ayxpdj0uxp9x0rmj5ys8ujdd3apdwecrfj
0, terra103vut6832lm7frwyuf8g0he20mv5v5r39t2glc
0, terra103xc3wnee90hpsepwgdkqanyqrml7pfepx4hyv
154251407, terra103xke9xhka574sejm98p6z4hql5mqjpn5qkr4h
6933, terra103zlqegwc25fqkfr2r8y59l3q9fnkg4w4gptrx
156652926, terra103zprjr0jhuyzh0upfwvu6900520g6kj5v9gv7
0, terra10406e873s249surrumfxxa4jxtzzpqqkjwn02f
35041551, terra1042jmj35424c9vrl72sc69un478v2jy25e6v0w
21251845, terra1043j8wtfr4lkqczcpp0l0yqzlzkjc9pu8cpjye
22629697, terra1043l4rgm5lq0schrsv9grem8n982rm92qlq36l
0, terra1043pyv3p9kw5dc6zsrlx0c6s9z02fgurlsx4l0
0, terra1044a3kwr9kx667758y603hzyq6ne7kt4dvzlk8
32928088, terra104568sfgk3t25gra8m2fkknn0mjd0wvxhg68ux
7140, terra1045905xydkc9hygeewcgauj2a33teeuu9mkssm
59342790, terra10465kka86fslf9dgqz8l2fx0wd4kztyack554f
0, terra1047tmvf7xyu4cfd2vtx0c8u43nnqm7ry525kh4
18473222, terra104803ywm5nypy672vvamctzlh7rfmd560q06gr
0, terra1048gyhzptenxuwt5h4sngddej74vsq0rf300zw
85000000, terra104a7fl0dlpt0mvrtn20zwenjgru95cywdutfhc
0, terra104ava5leef4qst8pcmdldm66zsf22wsxej2qwj
