User Address,MARS in Cooldown
terra1004ntprq3wc26u9sz2fjmsx2twhuaxnpktvq88,531910348
terra100dxspkurxsa29upl7s9pywqxtff70r6l9ux2u,432789519
terra102my4425zh6mwk9r7krhe8n25m05l52zjjc554,1505998732
terra102xrq94nyp8yh2u23c54lvdx82z6dqyedrfduf,3698103636
terra1033q8552c08r3mz55dce5rvl3c3la9fw8wvkz7,15671195975
terra1034kewxnd3qe4u4f89fky537adkr7jsmuvtkhm,72009625
terra104tnjc0xv9f3tugd04ynfu79exp6yh0zzwgs67,3007596505
terra104u8s2d3se2v42ahjuhhkczt23qyvgkat3j26e,66301525
terra104y0eegkvkj2snl749ntvfhtlm4cyu6nra990w,17877100
terra1052ajzc5z80e76qtxm8syyqcu0v03759x93dr4,3008807419
terra105pgsryrveze6fhrg5p72yhzerjcq88zg4tjl5,10433859
terra105xc9wfdj4egldww4a6ngetwslwjwhhmcccupt,225456697
terra1076c50m7v39klxjanhda0ew3elau0ee5vtc7ps,783625617
terra10anx9x2vcxvrx8mhfyva64n90ycfcjx4e5w9ev,28588728
terra10ap7puhzep73zeve3kl4k8wga77ln3djh25fu7,146845345
terra10dawxjdvl5v36fzn84t9p4gh7u7ly5vmqwxdkh,51534935
terra10dgkdfm6lcywp4u0kp6cs33fptzsz2rsm023yt,348642960
terra10dhctkvm8jmejvty6w6za6avgn0atzf06k4y3l,323904011
terra10ekdqr9pflcczcn07ssgvrxjm7te932ph9ycyn,1751849
terra10eqgf4q80t8x4uk8kpke4mhtpyx5vpdel86qyh,18979260
terra10eurh67387lkerr3ldjngkzm236aa4756tdjkr,39222045
terra10f9km4al59s53yr7fjsnvph5ggxfjuduge3a43,563447945
terra10fkusypde5uru2ay2aqtdjrhujkuvxzphxcmpd,89531727
terra10fzu3tvv2e948h9tv3p5k67zmg4jy5ryds6rcj,168029033
terra10gq0mqfqw8xrled0jkhj775fwtxpuq2u99v6yt,4379457210
terra10hkknawlup2mv9sus6lkd7r94xuy438kuxqpr3,2130143292
terra10jhal9rpn42nmfttc90zt8g979hzh2rfp5jyku,1794650663
terra10k2ck4rfz68kyawdrafsr3tx44wza9sve5mfvv,106738859
terra10kf4gaxd9ddqnmvv6a8ja5l4x6whm557s5u722,503843138
terra10ktchl60gk4f3gxktpgert3qdt9696ty9jsl5n,18477009
terra10nh4tppf3arx25q2ys50ehl886he8wn0r884q3,106368416
terra10nqyv6cpm68f8wj4qeu5d6g6j85449at250g2x,70062090
terra10nu2a4qvy045jj4gy2tn2z49pnt3vw0qw8tats,2779869346
terra10nyr60sgmthczrquyh69fec79eqwfv4re8lsfy,69243518
terra10pppxla8t20jylgeezxeg67pyf5qgqvf9c9lkg,287781090
terra10reah606h3zxmv467suplnv7xhglgqfqd09zsh,248229736
terra10rraxacquw0v6q4tsjgjw7pq9hejxdg8s0uzcc,63453400
terra10t409cy2td0jfnxkd3kh3dsdmmhldgmmcw3fx2,601335427
terra10tv6kn75xt063k8vy37vm7qeud6p70sgq5tcxq,1154038193
terra10u000auhkf67dzedf65vln5xphv46qggzlk6ga,51498554
terra10us3q6lr34chmln5z7pl3lw5avx3k06hc8tx4j,156360653
terra10vsmu5w2f054qutcr9uddvshx6uq7nmm7xjvn6,911158510
terra10ww898t6pn2hxwk9mcrpnmlprn95hwayg6ejwm,519920909
terra10yv26w9u8z6var8qznufd5t4hn5ha9ck3jnxyg,381084966
terra10z0kunadad5n2exwr4zxstahxm37g63sd5theq,14387730245
terra10zdhgllxgd4urfcc4rakprm2ncwywy453pj9u5,1362434677
terra122h8x76vy9pna6vnqeq6vxka06dn8q0cl7yph6,207533715
terra12377hxl772al8cea3rzj6vdgzvflpu59gncpws,14189190
terra1237a8r7qs8ewqwwyycn59tdq9zz2r0s3rlr5r7,250489935
terra123ecfvt264np2my6uwhvqad2ws4n60yhalzgdf,50062652
terra123l5667k2awxsm2hcvgepvlh0fydw36327nw38,108995709
terra123t6yhdwya6csjy6nlq3pawu73fp839djgyk70,18354686
terra12440pud8fjlc99nh2rtsrvgpej4w0ncapxjucp,38386146
terra124r83fs29ap6j93wp73uvumu4anl6wrrawrnpm,19137695
terra124r8setl7leswaftyelmcj7vfdxy5e5nknrmj7,999999
terra1259c2xgdfk55kp75eahgc2ck9kn3cvve884ake,33370882
terra125q586q862rmy45n5k2t3cfk462fu7kesxvlr6,18514360
terra125wtmwun8csta5kvhe2ddepnl3htrxl5h7fr60,68155479
terra12629f3upv4ltattegp6tzc7uwssq5wfdy7824f,220596533
terra126wmfj009ngqa7jvp6lszj033zevc5ff93xjnk,222051765
terra1272tdsctvjjus8p5u3u58l93dy2qpt0c0cauhr,99882888
terra128h7ua8gea4ftnl2h9xwy3tnd3suxmf8c27s3p,18474018
terra129etxfnerdefcclwqw5kc02v8z0689hlt937ke,50658374
terra129qz5jwh53usmw69lpdpv66224glwy0f957wvf,25941785035
terra12c0gsdpjl5cwnxe3gsm930d2dluael84epkf09,299373996
terra12cyv7gvnrg9jlhkkc5dzph79unefzke84cfudu,3241645050
terra12dn8e53wprt7puqudn6g5xmwmdk56l7vnghrtv,273032412
terra12e98lr4kl86g48y394fxt9ygacnhvtmpwtj4qe,1001259257
terra12fnxmujd024035lny9tsrudplzwasjxsuc72k7,2678386772
terra12he6pnmqtdkcm2watz787weswj27ctel7m9tjx,80077212
terra12hjzrwvntaxndt2fwl3j0qyw7vqjr96d0j5qpr,449196365
terra12jwxsv82t33j6yh99rn42p4ek9wtl87nu5ptdy,3698391819
terra12k6mtj227njjhywtfdd3pup9r44tx39r7dmf7u,102038400
terra12ld7xznq2muv8gg3uu6yn9fgfg8rmzeu3tpm3w,651329076
terra12lxfck4pzfg5wpuc5fr6rmnt9j2vhx2j7d57ly,558387076
terra12m4n6hqwvrylnsjtgxajsucvm2xwhumcyz7c85,819995041
terra12pdrqyrz4w5uqxglkak7jxg0sa2grlstzknh7h,902134828
terra12pyqggwggsdk0z735hrtzvfrwmhvv8wmle28xc,70173132
terra12pyu44xvgwjas84t6wlw7pgqxlvg83lxjwn8my,18495318
terra12qkuhhzpvvqwhd7c53v3rvg43uhldse57xfz24,15492939
terra12rcvkcre2cvjat8xp6nmgdcf2ev9kevyhfufkx,22048004
terra12rx5j86xe8cclmy3a5xnq9tj9cqj4snv4stqnd,1037015105
terra12s7xaflurysy45grncescedhva8vzghpusf2xx,25317951
terra12sz5ezjf6nw633av80v0fm3twg6htl2hxpgznq,87618565
terra12tlkfk0mn8uuwc2sfzv7krm7mtrwhqlkeuhzpn,3702872241
terra12tzp495d67zq42zwyj8rytfe2wthcgq35ftp7h,232160452
terra12u90c5jdmu8zl04c5rpxh2qad59uxf26j6qxwf,7937042818
terra12v9hwa0vvj5nlknyrudlvcg8l5946878jvpepc,18493132
terra12wyd87u3me3gc9qpltzgpmnt409gn8sdlxj333,17884200162
terra12xgs0cdh5jl3exc9jf6kcr3cdpgnpt7udh8tnv,2910193525
terra12z57v5wq073pfdqmr54l337n3vc6su9vu0kmt7,140008059
terra12zwvj7hhpt2fxstnmc9wtehpwlung6vhj5tejq,1022926039
terra133ekycrv5d5tdd3ydaclfcrj8k0xrvyhudqks4,87271256
terra135cfxn5f4hyn6yd40gtq753qxje8c0y8f0n7ku,1849260429
terra135fykdvcg2m8lr44xr2xqrljgw2grf2eefsdvp,301480031
terra13725mwkg4jepz3nsfjjmn5grx7crk86vk488te,289063589
terra137zxeppe2duhuwgsf8lhvtxgks8vqqjm6wqmhs,340525655
terra138dq6sv270gwatrwzucdndh7r7u4j5tznzd6zy,810199481
terra13938jct7zazsazwwyaxwpe3eth2u5sutpa0ffl,88690344
terra13a3sllxq03zjm0q0xdvnn74r39959ktdlqzn9d,50536761
terra13avee2e9a0u95u4wr2flru552fepcfyffrkkuu,186711801
terra13dulxwyakzzeyxh65u7sz3n4vcjxuzp9n69a06,145626401
terra13e6pm2u6jr8nfh6l4xlsvyhrrzg4066ywpwtx8,28072892
terra13e89waffdxyn985jp9ejjefgsvl84m9x4cy5cc,1127246
terra13emdyum6s7v3vaew833euut7fd9ggw780ut3sj,952285839
terra13et4vh6u30awed480jxaex6zp4unupzszsh080,34997175
terra13ex309y6d6n7uxzll6y4vmylywsgkuakhv4vtp,36205344
terra13hapfherlfh6hpslspkxpv6zr2tshapuej492c,24071398
terra13hk9wdjuxg8afck5x5rwwj7t9zrfy0p8s36hf5,158852995
terra13k6tdxy50fka3y0def49hlna2m2kmme3rn5js0,35825726
terra13kymx4zhw632utmjnu9zt6ctt8lu4gd6ye033u,60526557
terra13l3efu2w4alhas52e0ufv4sd4vpdw5amv2yvct,22382429
terra13lgdlak3v03a583wka04qdm44lmu3f8kmwuu58,47023678348
terra13lhenxzg8gpmrt0rctkgje8hz78sv2pdzzlp0n,35749691
terra13n49u4czja3rm3vk2g8lnj30uam9vmrrcwk9wz,74125993
terra13njvn62dh6l266ez29j9hwduqggvnhwekzdae3,2560681194
terra13nlfn4g48nfn9gtdtszef523vmck6sqs0t6aas,15033403
terra13nqy3ufdcxxxvv9c0cuh3ylhe2kp9mkcpxnrl6,85373341
terra13pk4se2243zmhezay44u0mky69xszhznzej8s3,23660137
terra13pmprr290nehtxnxpyw7jxhp2dxvr3w4zzf7ad,175737625
terra13pzdns9gfz6ah64fecp783anqg7k3z5laztjuc,20025279
terra13qgveatdwtfhpts4ptx07qdzfnqqy9k8uegk4g,5375097573
terra13rs57hjhdzhparpm0tqz05aq6tdzumfcpvzxsc,500184875
terra13s0nwsj84hzcmfa8hkmzghfe69d3r975vuqucq,18010000
terra13s23xnm2sa0sssdhzleqzgsx85tax3szxzc2ep,1787555471
terra13tmtavj9d05rjac7mv9tx9gtqn86r9ud935y4z,1257238925
terra13u5hdrw99f8agk99lpldg6u6xszpl9ujaccmzn,9247026
terra13uuea8tv6hdxc3l3s8t4f8mywgg02lljgz3u2q,1264192250
terra13vqlfe0lf6wukt0nxy49548af8eqxf02d3htap,1211274249
terra13vychxekpxfzc6nktlslumf89e5jfuekax2wc6,117739704
terra13wvs2320uyveavsxm6cnq6ht468tj6ctmy0jkt,78986712
terra13xz5dywesqfuleknxy3fgvr7yjx3a0xf9uu0lp,747573278
terra13xzrwnsglwnmx9k5xn6rh9w5hu8e0g44k7grvd,1501842413
terra13y72rk3ls5rn4vdjflsyrukhhja3n3dpw3sc9k,983101345
terra13z0hrqzwlwrh7x95dtzpdd29f89c6lald4wv9g,419030462
terra13zwqnu0ut4ay36t4nchrr7u35h3agsmkmxf88u,18473426
terra140y50hf8xjjn789m3spnj3s08vlc9ezu3853vh,1470756739
terra142fr97hl4tlksl6kxl4tyx5slch49md9w67gy3,18024623
terra142gyal4vc8dq4kcry24szr70wff7rjkf9yrm59,7246324930
terra142q8u5ya5rl0q4v5srvnmkdlq0vd8e0kmnk7gq,3475994
terra1437t9kjgpmhupjh2sm8rwwxaynzew0a0u0ld8h,150293732
terra1438qvqkqpv52tkamj2lp862gm6p503xfj62ahn,29112946
terra143nl3cv60s8uyyg4m3a5se5vphv0wct6mpcadk,115837268606
terra144mssvwcsfpmkk83lfedmzpc5r9t9zy5scrzcw,18505185
terra145677lhzvt5njhlpqdrm6df6v0m5gap5m70qwv,52180218
terra1458nhuuu6mqwuett3vxukv99uu43u3vyu688hu,88940915
terra14696lvdjcz0d3z8hsljq2aq5hrfmt57pmvknwf,23991119283
terra147nl330zmsmerr6fne653et8za9pvwqnnj578r,106042863
terra147smfu7ajzffhv57rh92g7zaqdvgdutvdufusr,377577722
terra148wlu8d9yw46adyztcam7gj998esex0g0yrqd4,1473773550
terra149ha8zjg2dkdwp3z4equ9rj29m3e224cps98tt,34974841502
terra14auqdy9c4ql4y205a6hu6zh2zr5h5u3e8h8mww,78320220
terra14c2nf8tlmy6d8jh3vqevmpxzprj5c45uwycwxh,18514360
terra14da2dn4ve2p6z6hug6wdj5c08w29t6sxgsej98,465622570
terra14gk3nm6u2elrvr5857xmecjwy452d047zth8f3,58846523
terra14gm32u5rtu488f9dgemar4tywyxl22yq08550q,18514233
terra14gqzv8gvc6jck5jaxdpqjnzv32u2td7a3ej6dg,100222692
terra14gvj0az6npjhsz7mjxe3da4tceefym8rhdtf76,489791654
terra14h8mkf7ueq9f7juvcsfcukdrlrdxl95s0zppet,25109718
terra14hrck3rhhufclzdqn3mp2yzj4ga5euldwqkc52,18496092
terra14hw04a3wqtwgm33yzxk8cpg3fu7zfjuq0mwrrr,526674031
terra14lqfmryda85avseex9n8ajaeqqnvagk6chtm24,46947968
terra14m97zejmhx9anfep2jpkmnpuggxx8gahspqld9,98891353
terra14mju49h9zl29zcr8n3r333eh0mpzdsgz59t9jk,251546260
terra14mpvp24qd6rdthw2akhwqhqvvtq32tcfej2dgt,387730621
terra14psm7kykqq6htpwaees6de9q7ak4dga8zuuyuk,137685419
terra14pzgev7helny856evkes2qf3csl5dr0sqjztv6,131559818
terra14rh2y85vnzdlt5ufwt6tewd8qdudxl83g8grlv,61
terra14rhxm5szhwg3rdzq3yc46vpjhqfsfuupn92yfc,31164249098
terra14rrgeuqc363447nqndrnefxa07g6ue3puqyxqs,66146661
terra14sel4a2dm5a986dgf6wvkzk2lqfq3me72v8fy7,98850592
terra14sm64p6l5d2ssag9lgaustnxt4fzwc76xer89q,79033498
terra14src9w9d4luckd2ge05d73a4cvasaxkga0va07,553831205
