TxHash,Block Height,User Address,MARS Claimed,MARS Claimable
B0689348D31F08A332B19F41D012DAF250EF75C157E44BC0B89418B08CB6E50F,7839966,terra1cd5zs7uyz9fsa0d6v3cvmv9xtg2r56fe4lumze,501113464,0
F66BA40D17970941F1DDE0D671CD8C00240B205F01C084B94BC42BE37D3B6840,7835666,terra1hrq945eqd5wzehserr7y2dkqvg9qz990ls2k63,6774915,0
97F3735E95FE9AD1C970888B8A54D4A0A36F015C4457868C73FD3FEE54CF9DE1,7833776,terra1uq3wwn9dm3zrnk6gzzv36grmunjdh395nvj3nr,34523920112,0
8EBFD0BA20B6B563999BD6C394D7FBEEB2B6BAA4890ADFA2DCB078A6FABAF736,7832450,terra1admlce4lfp0nm45gfvlyqku9f9rf2lsuf5rydl,194403640,0
6A4126CB378563E000F276728A511101033FE1DD87B77CE27E62733A8D59D965,7830720,terra1zcmjlz2j6ldka56v7n7as3y2dwd9k8cex8a77a,21933429,0
8C3AD7FA8D31EDA7D7B2D8CCE57CD1A56AE92CA637F90A880D1278189426F295,7829583,terra18ph8eqpfv8v6632agjada50r89ws8xlts2c49q,2998014924,0
F8115C4BE0EB65330F94F6E1FA47C41D83D33EE771B67CB9A823C561665FF93A,7829553,terra1r4h0w43k6x8hn670ksgxacxvg3d2zqmv0l4y3n,247761645,0
9E183210FC2020388F80408EE22113DD3155E990E49BB41B2D7C377DB575070A,7827642,terra1pz3ay66gkncrrg747y22dmv027mhm0w8hf9nvs,77441920,0
B0F391702EC2C4B96A63C7F01001E360AB120DF461AAEAF2715488B53282B1A6,7827240,terra1dw2wr2ka95gz6fg54mnf8v0vrdmzze83c80ymq,10013346,0
50D8483732164EA022145F61FA7075278FEA29AE9306F717C29B583479D75977,7826924,terra1297l68zp5npzslmu4xy0q09jf0sq7hvaepkqau,0,17680518
9C0E96259467933F7F5E3EF5981E051E2D1E13E20316AA96EC0336B903FD4164,7822440,terra1svszh55mwmny9fz3w654sx83l0y5mgkvekv5sz,4540642803,0
DA911F66563863340982BD903E066097E2DD2FDE41AAEBC1403BFB720D67A4D3,7821826,terra177520jym4vnd6u8kg5xscnjymvrcutkump5mv6,0,177238172104
