amount,address
0, terra1004ntprq3wc26u9sz2fjmsx2twhuaxnpktvq88
96124799, terra1005le4argrgh0nnx7ewz3xwq38rjc2368rsf5r
0, terra1005q25w8c5tfskyqt64ztqa8wt33anakvxxf5e
18454600, terra1008s03gkcsdcu4njel88up69ze6uv7frc3ck4x
0, terra100dxspkurxsa29upl7s9pywqxtff70r6l9ux2u
89306379, terra100dxvractwprg0hghps6gt348zzy502e6xlaaf
0, terra100ecf0wgcz8s6qrul4xf4a9jh4kh8c70wrxvds
1491824318, terra100ggkt96xf8kkhrpwddxxferq664347uccgpd7
0, terra100nsu4lsy84dcuyecjak9lnrdayj8tf5699n8m
144210715, terra100pesppvy4utsvalwxqlmfrm68rv0qek2pajsw
0, terra100r8d79cnhhvwksunmt75nnqws7c6drkzwnv63
610498267, terra1028ql7yjw7ju6pvzh8faxvl4dmpz466z6lw5ga
18473133, terra102av2gsndemejx4f90gkh4wlq3glxdptm3fh2z
21003605, terra102ez3yq9k96zh9xk9jssuun5prs2c9ekg5sp5q
0, terra102my4425zh6mwk9r7krhe8n25m05l52zjjc554
224597146, terra102sawl5738rz5cv2hzdrztxzq2wx2l2qc7d702
0, terra102vqktp9p0dm4g0pq2e3lgxr46tqcs9nj6wzwp
0, terra102xrq94nyp8yh2u23c54lvdx82z6dqyedrfduf
279399020, terra102ynau3wfcm9lp6r7p0t43xrqlk02du5te3264
313009655, terra10323w7lzvtrljn0f05d5pzh4zl6q50aedvx6cp
0, terra1033q8552c08r3mz55dce5rvl3c3la9fw8wvkz7
0, terra1034kewxnd3qe4u4f89fky537adkr7jsmuvtkhm
0, terra1035tnh2nn9ay9afjw7eglug3lw2flsajxaaefr
1893457, terra103sk9xhun8v0wx7m7w5sn6yvekfwahdefmgc9f
18454307, terra103t72quccuke52cpujwue9cpqnsvxere6swn2z
296956092, terra103tvlwwdk7xtzsqacpwxw96sn78tve5jtctr58
3545000000, terra103v9ayxpdj0uxp9x0rmj5ys8ujdd3apdwecrfj
0, terra103vut6832lm7frwyuf8g0he20mv5v5r39t2glc
0, terra1048gyhzptenxuwt5h4sngddej74vsq0rf300zw
12990527, terra104d8vhjcyay7c80haraewfwtjys5kfmk4m25xw
0, terra104mllsltujn09mtxscucsaem3f2xmpfhjmvd4a
20240324, terra104ptne03kv9kj9402lw0qzare8hxttqsz2l5ae
567621977, terra104qj7xf5rjjnthugmqkgxuv3xz7dvf64c38wdv
0, terra104tnjc0xv9f3tugd04ynfu79exp6yh0zzwgs67
0, terra104u8s2d3se2v42ahjuhhkczt23qyvgkat3j26e
0, terra104y0eegkvkj2snl749ntvfhtlm4cyu6nra990w
0, terra1052ajzc5z80e76qtxm8syyqcu0v03759x93dr4
0, terra1053k5ycsq8jgup56gllrr4hy6umdw3h90sjr0w
18473222, terra1059exrq68y46hs996pfk2l9lc0pwa53yvmexd5
0, terra1059tc049f4ts3src3kyh9n2yvps5xh0p86rtch
271627385, terra105jcx3sj783x3pn82nzg2xfszweu8vxcruutjf
0, terra105pgsryrveze6fhrg5p72yhzerjcq88zg4tjl5
20824580, terra105scql9yzvc60zgymhzraj2tlt8504gh4jpx78
0, terra105tlvecvhdmsrld7d6vgt2f7p5ta8590mlrqzv
18453314, terra105uny4nyw500x6yjna296euad9svm9nt85ct0w
0, terra105xc9wfdj4egldww4a6ngetwslwjwhhmcccupt
18454971, terra106edzaplufe95paqct49lrl79cfd5v2mxtz23k
519707071, terra106nyprxug0vsx0qhxm5arnjjuqj6emnr2yn5nw
0, terra106vvdwsuu4adtam7kutzegqks2g8qz3uuwypky
77556943, terra106yv8xst87aecamc4nqvswh9fqk05k7w9n0ymj
0, terra1072cc3w28vlra0m5qe07xfmfv265sksx4t46vw
56964523, terra1072q7txl66nc5zfyexe0wk3m6w05jy88arnra4
0, terra1076c50m7v39klxjanhda0ew3elau0ee5vtc7ps
0, terra107982u9v0dsmgwmkvat8r5u9gahuj9neav3q8k
25253139, terra1079trvpc0f3tjwfscheufqswlsyphr502qxd6r
18472741, terra107p30w0mm0m3sgq9ewgtx4mnv4ssu6fru705x8
37343176, terra107ryaeuhx5a6hmmg7tz9jxdey7ll72et9g3004
0, terra107skzrma4dx8s6jnkn08v77ylhk7qwd8q3s9j2
738611824, terra107tahud7zrudls5868pexzwks2peyaxr0t4kz4
0, terra10800p9fprusa55skxy2qlwf9dtsd0765nh3mmn
0, terra10808lqrhwvd9lk0gjyvsjmhnxzcc4kz6j09tj6
0, terra1084gjjcndwmmtejd8x3gvp7l9lk7r25xshz0vt
0, terra1084v4rjhac65r92w3d4j08d3geklpjk36eq554
3694579135, terra1088g522fjmrtz2q5tg4cy0m9jmjqqjwypn6sqd
0, terra108aw4xdnw9ks6q6r84dvn7dmt4rcr880c7tahv
849979662, terra108ctqekvjv3x536rk94rn3pj40ye43327cfxx8
0, terra108dfy67q04dqtxgwuryur2he3ndjp60katpzs5
0, terra108tlcptn226jrx7c94dzul5fdvm74ed9r58nrr
18473222, terra108y8w9rd58nm3xcwa3ky3gj98pw9nf2ktf3pxw
214818348, terra10906xreqy239fzxh5nlv82g9ddjsrkmradg602
95273156, terra10936pswn9xc5t565fpk2e84kfhuxz8y64l9m50
0, terra1096ure356xnw4xm6ujhf4de4l5j3stlpyq8h9u
5823261961, terra1097hd9x9w9ffm2qer5tmugfd6r4g6ku6yapra7
5849645651, terra1098efvh38fm9alxhpy6fn2uwdw82nl6l50u3u5
119438678, terra109gjjdavqcyjcc8ceptu3ghzdtnwydyjs565ju
0, terra109j3nv7gm738ruefsgme68ptp507sga7q8zu6g
18454971, terra109l67nayrtc7yxmea2chttuze5mquxrnx42sy7
14556008, terra109mjlzrgvtmllphfedm7v8wy7yvgr5e0zkukra
79669217, terra109u4tyc8tqyhhujx0sermhv8njff3d94cmz26x
0, terra109vsptrst2wyfxrp35zlwj86chcg3pw50ad7w9
998824175, terra109xaxvp6p38sgrm8fzxkdkhnvazm8am2krmaaq
18452327, terra10a4pvs2t2m8rn28jw2g750ky74c767dl54a5e5
35655362, terra10adce5jymvntqkgc20kahjsx9w6dgfz9ct2w8k
204173476, terra10afrv9k8pcr6g57y0x79ytlnmhlfl5knwmjusl
0, terra10anx9x2vcxvrx8mhfyva64n90ycfcjx4e5w9ev
0, terra10ap7puhzep73zeve3kl4k8wga77ln3djh25fu7
62835832, terra10ascruk04ggjdja7l27sla0egupg0rqa6l39s2
36402979, terra10ayl5fvsnd3kcyehe2w5p4nusk62cycfe6n5ee
3247508, terra10c34nw7deydyjstxvr6tyhylghw8uvx88rap5z
0, terra10c3eeuk25lnaj9ga3y3aqxc3tn5cprmg9dxp8a
0, terra10c77qqju5l9udv599pjwuhg4t5ym6hhu0m3new
5397891, terra10cav4s87clvwact3vey36ywm0uea9zyvutygan
0, terra10cchne078npsa0hced664laun05sjsy9fp54z4
0, terra10ccnc2qul7l58a9gcf58alc5jzqy8ck9gn9k7p
631573897, terra10ce3664e52thvut6ytd0ctma59v0t9yfjtwyfz
0, terra10cejecurfh49q3wpxl8ar3g2wv4t0cz4c6qd6a
50080143, terra10ceucazcvm4aka33sv0jlvu93u54sgs5e8pl9r
548052928, terra10cjyj3va06e4nthqgcfjtfghlqmw4mnvavm0lg
18473049, terra10clzxga2qhkykpmf8ljqvqv442hcgap5wvucxg
